V4_1,Data Marking,calendar-years,time,admin-geography,geography,week-number,week,recorded-deaths,deaths
1053,,2014,2014,E12000009,South West,week-5,Week 05,total-registered-deaths,Total registered deaths
1024,,2015,2015,E12000003,Yorkshire and The Humber,week-23,Week 23,total-registered-deaths,Total registered deaths
515,,2014,2014,W92000004,Wales,week-19,Week 19,total-registered-deaths,Total registered deaths
896,,2015,2015,E12000003,Yorkshire and The Humber,week-25,Week 25,total-registered-deaths,Total registered deaths
825,,2014,2014,E12000007,London,week-25,Week 25,total-registered-deaths,Total registered deaths
9529,,2015,2015,K04000001,England and Wales,week-39,Week 39,total-registered-deaths,Total registered deaths
554,,2015,2015,W92000004,Wales,week-37,Week 37,total-registered-deaths,Total registered deaths
890,,2014,2014,E12000007,London,week-23,Week 23,total-registered-deaths,Total registered deaths
999,,2014,2014,E12000006,East of England,week-37,Week 37,total-registered-deaths,Total registered deaths
475,,2015,2015,E12000001,North East,week-34,Week 34,total-registered-deaths,Total registered deaths
1063,,2015,2015,E12000007,London,week-10,Week 10,total-registered-deaths,Total registered deaths
832,,2014,2014,E12000004,East Midlands,week-18,Week 18,total-registered-deaths,Total registered deaths
8147,,2018,2018,K04000001,England and Wales,week-22,Week 22,total-registered-deaths,Total registered deaths
12495,,2018,2018,K04000001,England and Wales,week-6,Week 06,total-registered-deaths,Total registered deaths
10193,,2018,2018,K04000001,England and Wales,week-46,Week 46,total-registered-deaths,Total registered deaths
13935,,2018,2018,K04000001,England and Wales,week-4,Week 04,total-registered-deaths,Total registered deaths
1828,,2018,2018,E12000002,North West,week-3,Week 03,total-registered-deaths,Total registered deaths
1038,,2018,2018,E12000004,East Midlands,week-12,Week 12,total-registered-deaths,Total registered deaths
1145,,2018,2018,E12000005,West Midlands,week-51,Week 51,total-registered-deaths,Total registered deaths
1468,,2018,2018,E12000006,East of England,week-5,Week 05,total-registered-deaths,Total registered deaths
1408,,2018,2018,E12000008,South East,week-26,Week 26,total-registered-deaths,Total registered deaths
971,,2018,2018,E12000009,South West,week-29,Week 29,total-registered-deaths,Total registered deaths
518,,2018,2018,W92000004,Wales,week-33,Week 33,total-registered-deaths,Total registered deaths
9062,,2019,2019,K04000001,England and Wales,week-27,Week 27,total-registered-deaths,Total registered deaths
429,,2011,2011,E12000001,North East,week-17,Week 17,total-registered-deaths,Total registered deaths
963,,2010,2010,E12000007,London,week-19,Week 19,total-registered-deaths,Total registered deaths
15050,,2018,2018,K04000001,England and Wales,week-2,Week 02,total-registered-deaths,Total registered deaths
11223,,2018,2018,K04000001,England and Wales,week-16,Week 16,total-registered-deaths,Total registered deaths
10306,,2018,2018,K04000001,England and Wales,week-17,Week 17,total-registered-deaths,Total registered deaths
10153,,2018,2018,K04000001,England and Wales,week-18,Week 18,total-registered-deaths,Total registered deaths
9127,,2018,2018,K04000001,England and Wales,week-29,Week 29,total-registered-deaths,Total registered deaths
9319,,2018,2018,K04000001,England and Wales,week-32,Week 32,total-registered-deaths,Total registered deaths
10141,,2018,2018,K04000001,England and Wales,week-20,Week 20,total-registered-deaths,Total registered deaths
13285,,2018,2018,K04000001,England and Wales,week-5,Week 05,total-registered-deaths,Total registered deaths
12301,,2018,2018,K04000001,England and Wales,week-15,Week 15,total-registered-deaths,Total registered deaths
9258,,2018,2018,K04000001,England and Wales,week-27,Week 27,total-registered-deaths,Total registered deaths
10854,,2018,2018,K04000001,England and Wales,week-9,Week 09,total-registered-deaths,Total registered deaths
1005,,2019,2019,E12000009,South West,week-26,Week 26,total-registered-deaths,Total registered deaths
1033,,2019,2019,E12000004,East Midlands,week-7,Week 07,total-registered-deaths,Total registered deaths
1435,,2018,2018,E12000008,South East,week-23,Week 23,total-registered-deaths,Total registered deaths
890,,2019,2019,E12000004,East Midlands,week-12,Week 12,total-registered-deaths,Total registered deaths
1425,,2018,2018,E12000006,East of England,week-15,Week 15,total-registered-deaths,Total registered deaths
1393,,2018,2018,E12000009,South West,week-1,Week 01,total-registered-deaths,Total registered deaths
1059,,2019,2019,E12000006,East of England,week-40,Week 40,total-registered-deaths,Total registered deaths
1403,,2018,2018,E12000008,South East,week-28,Week 28,total-registered-deaths,Total registered deaths
1455,,2019,2019,E12000002,North West,week-45,Week 45,total-registered-deaths,Total registered deaths
1013,,2019,2019,E12000005,West Midlands,week-26,Week 26,total-registered-deaths,Total registered deaths
1287,,2019,2019,E12000002,North West,week-29,Week 29,total-registered-deaths,Total registered deaths
895,,2019,2019,E12000007,London,week-43,Week 43,total-registered-deaths,Total registered deaths
1023,,2019,2019,E12000007,London,week-47,Week 47,total-registered-deaths,Total registered deaths
1620,,2019,2019,E12000008,South East,week-21,Week 21,total-registered-deaths,Total registered deaths
1516,,2019,2019,E12000008,South East,week-23,Week 23,total-registered-deaths,Total registered deaths
1328,,2019,2019,E12000008,South East,week-29,Week 29,total-registered-deaths,Total registered deaths
1518,,2019,2019,E12000008,South East,week-36,Week 36,total-registered-deaths,Total registered deaths
809,,2019,2019,W92000004,Wales,week-2,Week 02,total-registered-deaths,Total registered deaths
695,,2019,2019,W92000004,Wales,week-8,Week 08,total-registered-deaths,Total registered deaths
637,,2019,2019,W92000004,Wales,week-15,Week 15,total-registered-deaths,Total registered deaths
9828,,2014,2014,K04000001,England and Wales,week-10,Week 10,total-registered-deaths,Total registered deaths
9622,,2014,2014,K04000001,England and Wales,week-13,Week 13,total-registered-deaths,Total registered deaths
11681,,2014,2014,K04000001,England and Wales,week-51,Week 51,total-registered-deaths,Total registered deaths
906,,2014,2014,E12000003,Yorkshire and The Humber,week-27,Week 27,total-registered-deaths,Total registered deaths
1003,,2014,2014,E12000003,Yorkshire and The Humber,week-36,Week 36,total-registered-deaths,Total registered deaths
897,,2014,2014,E12000003,Yorkshire and The Humber,week-39,Week 39,total-registered-deaths,Total registered deaths
1039,,2014,2014,E12000005,West Midlands,week-6,Week 06,total-registered-deaths,Total registered deaths
939,,2014,2014,E12000005,West Midlands,week-31,Week 31,total-registered-deaths,Total registered deaths
912,,2014,2014,E12000006,East of England,week-21,Week 21,total-registered-deaths,Total registered deaths
1055,,2014,2014,E12000009,South West,week-6,Week 06,total-registered-deaths,Total registered deaths
8862,,2015,2015,K04000001,England and Wales,week-19,Week 19,total-registered-deaths,Total registered deaths
9776,,2015,2015,K04000001,England and Wales,week-41,Week 41,total-registered-deaths,Total registered deaths
9511,,2015,2015,K04000001,England and Wales,week-42,Week 42,total-registered-deaths,Total registered deaths
503,,2015,2015,E12000001,North East,week-19,Week 19,total-registered-deaths,Total registered deaths
1376,,2015,2015,E12000002,North West,week-46,Week 46,total-registered-deaths,Total registered deaths
919,,2015,2015,E12000004,East Midlands,week-49,Week 49,total-registered-deaths,Total registered deaths
1531,,2015,2015,E12000008,South East,week-12,Week 12,total-registered-deaths,Total registered deaths
1102,,2015,2015,E12000009,South West,week-50,Week 50,total-registered-deaths,Total registered deaths
9644,,2017,2017,K04000001,England and Wales,week-16,Week 16,total-registered-deaths,Total registered deaths
551,,2017,2017,E12000001,North East,week-19,Week 19,total-registered-deaths,Total registered deaths
738,,2017,2017,E12000004,East Midlands,week-30,Week 30,total-registered-deaths,Total registered deaths
943,,2017,2017,E12000005,West Midlands,week-32,Week 32,total-registered-deaths,Total registered deaths
990,,2017,2017,E12000005,West Midlands,week-39,Week 39,total-registered-deaths,Total registered deaths
1091,,2017,2017,E12000006,East of England,week-46,Week 46,total-registered-deaths,Total registered deaths
9124,,2016,2016,K04000001,England and Wales,week-37,Week 37,total-registered-deaths,Total registered deaths
478,,2016,2016,E12000001,North East,week-36,Week 36,total-registered-deaths,Total registered deaths
948,,2016,2016,E12000003,Yorkshire and The Humber,week-28,Week 28,total-registered-deaths,Total registered deaths
917,,2016,2016,E12000004,East Midlands,week-11,Week 11,total-registered-deaths,Total registered deaths
859,,2016,2016,E12000004,East Midlands,week-13,Week 13,total-registered-deaths,Total registered deaths
900,,2016,2016,E12000004,East Midlands,week-15,Week 15,total-registered-deaths,Total registered deaths
784,,2016,2016,E12000004,East Midlands,week-28,Week 28,total-registered-deaths,Total registered deaths
1119,,2016,2016,E12000006,East of England,week-23,Week 23,total-registered-deaths,Total registered deaths
1054,,2016,2016,E12000006,East of England,week-28,Week 28,total-registered-deaths,Total registered deaths
976,,2016,2016,E12000007,London,week-45,Week 45,total-registered-deaths,Total registered deaths
1691,,2016,2016,E12000008,South East,week-45,Week 45,total-registered-deaths,Total registered deaths
663,,2016,2016,W92000004,Wales,week-50,Week 50,total-registered-deaths,Total registered deaths
563,,2012,2012,E12000001,North East,week-8,Week 08,total-registered-deaths,Total registered deaths
1000,,2012,2012,E12000003,Yorkshire and The Humber,week-24,Week 24,total-registered-deaths,Total registered deaths
1046,,2012,2012,E12000005,West Midlands,week-5,Week 05,total-registered-deaths,Total registered deaths
1036,,2012,2012,E12000006,East of England,week-13,Week 13,total-registered-deaths,Total registered deaths
829,,2012,2012,E12000007,London,week-36,Week 36,total-registered-deaths,Total registered deaths
553,,2012,2012,W92000004,Wales,week-34,Week 34,total-registered-deaths,Total registered deaths
9237,,2013,2013,K04000001,England and Wales,week-42,Week 42,total-registered-deaths,Total registered deaths
481,,2013,2013,E12000001,North East,week-41,Week 41,total-registered-deaths,Total registered deaths
1481,,2013,2013,E12000002,North West,week-5,Week 05,total-registered-deaths,Total registered deaths
1525,,2013,2013,E12000002,North West,week-9,Week 09,total-registered-deaths,Total registered deaths
1299,,2013,2013,E12000006,East of England,week-2,Week 02,total-registered-deaths,Total registered deaths
1215,,2013,2013,E12000006,East of England,week-5,Week 05,total-registered-deaths,Total registered deaths
1168,,2013,2013,E12000006,East of England,week-12,Week 12,total-registered-deaths,Total registered deaths
1500,,2013,2013,E12000008,South East,week-48,Week 48,total-registered-deaths,Total registered deaths
627,,2013,2013,W92000004,Wales,week-48,Week 48,total-registered-deaths,Total registered deaths
1238,,2011,2011,E12000002,North West,week-47,Week 47,total-registered-deaths,Total registered deaths
1015,,2011,2011,E12000006,East of England,week-23,Week 23,total-registered-deaths,Total registered deaths
888,,2011,2011,E12000006,East of England,week-25,Week 25,total-registered-deaths,Total registered deaths
943,,2011,2011,E12000007,London,week-5,Week 05,total-registered-deaths,Total registered deaths
953,,2011,2011,E12000007,London,week-11,Week 11,total-registered-deaths,Total registered deaths
